datadate,BRK.A,MKT,SMB,HML,RF,QMJ,BAB,UMD,,,
3/17/1980,-10.34,-12.91,-4.39,-1.87,1.210,5.74,-4.29,-9.56,,,
4/1/1980,5.77,3.99,1.64,1.38,1.260,-3.07,2.23,-0.26,,,
5/1/1980,16.36,4.75,2.09,0.25,0.810,0.56,3.43,-1.65,,,
6/2/1980,-4.69,2.94,1.01,-0.77,0.610,-0.86,3.65,2.22,,,
7/1/1980,11.48,6.31,3.93,-5.27,0.530,3.37,-1.18,1.21,,,
8/1/1980,11.76,1.74,4.17,-2.72,0.640,-0.48,1.62,2.25,,,
9/2/1980,1.32,2.31,1.18,-4.13,0.750,1.62,1.47,5.61,,,
10/1/1980,9.09,1.30,1.64,-3.98,0.950,0.42,0.04,6.37,,,
11/3/1980,2.38,9.64,-4.56,-8.78,0.960,1.85,-6.22,14.57,,,
12/1/1980,-1.16,-4.45,-0.16,2.24,1.310,0.99,0.79,-6.23,,,
1/2/1981,1.18,-5.38,4.11,6.95,1.216,-0.68,4.43,-7.74,,,
2/2/1981,12.79,0.34,-0.26,1.64,1.185,1.53,2.02,-0.74,,,
3/2/1981,-1.03,3.43,3.06,1.22,1.038,-0.67,3.28,-0.40,,,
4/1/1981,7.29,-2.26,4.82,3.16,1.238,1.02,5.45,-0.93,,,
5/1/1981,0.97,0.12,1.87,-0.60,1.258,-1.75,-0.32,3.38,,,
6/1/1981,-1.92,-2.28,0.00,4.89,1.190,0.76,5.07,-5.56,,,
7/1/1981,-4.90,-1.49,-2.18,-1.28,1.239,0.76,-1.14,-2.63,,,
8/3/1981,3.09,-6.89,-1.51,3.28,1.293,0.87,2.14,-1.73,,,
9/1/1981,-8.00,-7.70,-2.37,4.70,1.195,1.22,-1.50,2.67,,,
10/1/1981,9.78,4.81,2.36,-4.56,1.063,1.16,-2.12,3.89,,,
11/2/1981,13.86,3.56,-1.13,1.60,0.864,0.95,4.58,-0.73,,,
12/1/1981,-2.61,-3.69,1.18,0.56,0.923,2.15,2.44,1.87,,,
1/4/1982,-8.93,-3.59,-1.53,3.24,1.043,0.45,0.20,1.54,,,
2/1/1982,0.98,-6.14,0.03,6.13,1.037,0.02,2.89,5.21,,,
3/1/1982,-6.80,-2.05,-0.68,4.43,1.105,-0.32,1.61,3.32,,,
4/1/1982,6.25,3.31,1.59,-2.24,1.028,1.54,1.25,0.08,,,
5/3/1982,-0.98,-3.88,0.49,0.92,0.958,1.22,2.01,2.06,,,
6/1/1982,-1.98,-3.35,-0.57,2.49,1.063,0.96,-0.50,5.58,,,
7/1/1982,-4.04,-3.10,1.34,-0.07,0.848,1.69,1.09,4.32,,,
8/2/1982,2.11,11.12,-4.46,1.06,0.702,-0.75,-2.04,-3.18,,,
9/1/1982,13.40,0.97,2.72,0.93,0.635,2.67,8.17,4.26,,,
10/1/1982,10.91,11.23,1.67,-1.37,0.658,-1.80,2.98,0.27,,,
11/1/1982,13.11,4.52,4.23,-0.70,0.690,1.54,7.05,5.79,,,
12/1/1982,12.32,0.86,-0.14,-0.42,0.660,1.14,2.75,0.02,,,
1/3/1983,-1.29,3.51,3.71,-0.88,0.675,-2.28,2.47,-1.82,,,
2/1/1983,8.50,2.37,2.41,1.97,0.661,1.04,8.15,4.53,,,
3/1/1983,16.27,2.83,1.33,3.32,0.720,0.50,6.34,0.69,,,
4/4/1983,1.04,6.68,0.08,1.39,0.673,-0.64,4.67,1.85,,,
5/2/1983,1.03,0.64,6.66,-1.57,0.719,-2.19,2.69,-1.95,,,
6/1/1983,-7.61,3.14,0.91,-3.07,0.733,1.78,2.95,1.45,,,
7/1/1983,4.40,-3.96,1.46,5.15,0.768,0.09,3.98,-2.66,,,
8/1/1983,7.37,-0.43,-4.43,4.55,0.772,1.13,-0.81,-5.15,,,
9/1/1983,21.57,0.89,0.25,0.92,0.726,2.12,3.64,0.65,,,
10/3/1983,5.65,-3.53,-3.18,3.88,0.709,1.73,3.80,-4.37,,,
11/1/1983,3.05,2.29,2.03,-0.08,0.740,-0.80,-0.13,0.30,,,
12/1/1983,-2.96,-1.78,-0.43,1.90,0.748,1.81,1.55,0.84,,,
1/3/1984,1.15,-2.21,-0.17,7.29,0.741,-2.68,2.98,-2.74,,,
2/1/1984,-3.40,-4.73,-1.82,2.04,0.762,0.93,-1.80,-0.04,,,
3/1/1984,-3.13,0.49,-0.74,1.01,0.810,0.16,-0.16,0.99,,,
4/2/1984,0.81,-0.55,-1.07,0.08,0.810,3.25,0.34,2.21,,,
5/1/1984,3.20,-6.17,1.01,-0.08,0.813,3.10,1.85,1.21,,,
6/1/1984,-2.33,1.50,0.49,-3.01,0.827,2.79,0.53,-0.58,,,
7/2/1984,-1.59,-2.90,-2.13,0.95,0.867,3.03,1.99,3.12,,,
8/1/1984,4.03,10.33,-0.27,-2.18,0.886,-1.94,-0.28,-5.67,,,
9/4/1984,1.16,-0.91,-0.10,4.95,0.852,0.04,4.05,3.88,,,
10/1/1984,-0.38,-0.85,-1.21,0.97,0.751,1.72,2.59,3.15,,,
11/1/1984,-1.54,-2.10,-0.85,4.57,0.703,0.82,1.45,1.55,,,
12/3/1984,-0.39,1.57,-0.91,-0.51,0.654,0.88,0.34,1.68,,,
1/2/1985,9.41,8.54,3.44,-5.62,0.671,-0.52,1.39,-6.07,,,
2/1/1985,6.81,1.13,0.82,-0.44,0.708,1.61,4.66,1.78,,,
3/1/1985,21.81,-1.10,-1.53,4.12,0.682,-0.35,3.52,1.64,,,
4/1/1985,1.93,-0.86,-0.53,3.73,0.654,0.35,3.80,2.52,,,
5/1/1985,0.54,4.90,-2.99,-1.35,0.595,0.50,1.75,3.94,,,
6/3/1985,15.59,1.12,-0.44,1.08,0.569,0.83,2.97,3.88,,,
7/1/1985,-1.86,-0.60,2.81,-1.16,0.607,0.86,-0.51,-3.01,,,
8/1/1985,-3.32,-1.31,-0.20,1.68,0.595,0.29,0.73,1.14,,,
9/3/1985,3.92,-4.70,-1.53,0.95,0.587,2.81,0.58,1.35,,,
10/1/1985,23.58,3.88,-1.23,0.89,0.599,0.46,2.38,3.89,,,
11/1/1985,0.19,6.28,-0.05,-2.41,0.597,1.38,2.08,-0.44,,,
12/2/1985,-5.90,3.67,-0.76,-1.11,0.588,1.19,3.64,-0.82,,,
1/2/1986,-8.70,0.25,0.51,1.07,0.581,-2.01,1.66,3.17,,,
2/3/1986,22.39,6.62,-0.93,0.31,0.585,1.13,3.97,2.02,,,
3/3/1986,13.04,5.30,-0.86,0.13,0.528,0.67,4.12,3.22,,,
4/1/1986,-6.73,-1.37,3.03,-2.96,0.508,2.03,2.24,-0.37,,,
5/1/1986,-1.72,4.40,-1.63,0.33,0.525,0.60,2.85,2.25,,,
6/2/1986,4.02,0.85,-0.92,0.09,0.497,1.92,4.83,4.71,,,
7/1/1986,-5.04,-6.36,-3.05,3.15,0.483,1.56,1.66,1.13,,,
