datadate,BRK.A,MKT,SMB,HML,RF,QMJ,BAB,UMD
1/29/1999,2.01,3.63,-1.24,-3.61,0.364,-3.54,-3.87,2.34
2/26/1999,-1.53,-4.13,-3.85,2.15,0.379,-0.41,0.94,-0.4
3/31/1999,1.50,3.52,-3.85,-2.98,0.364,-2.5,-7.73,-2.51
4/30/1999,5.33,4.56,2.88,3.47,0.369,-4.54,-0.2,-9.13
5/28/1999,-2.07,-2.55,5.64,1.15,0.378,1.82,3.62,-2.98
6/30/1999,-6.50,4.73,2.58,-4.23,0.388,0.81,-1.35,4.56
7/30/1999,0.15,-3.56,2.61,-0.22,0.385,2.28,0.01,2.2
8/31/1999,0.97,-1.45,-1.67,-0.94,0.403,2.41,-2.62,3.17
9/30/1999,-14.37,-2.69,3.07,-3.14,0.395,0.86,-4.57,6.15
10/29/1999,15.26,5.95,-6.11,-3.65,0.414,0.17,-2.79,5.08
11/30/1999,7.28,3.42,5.96,-7.06,0.429,-1.42,-11.32,5.73
12/31/1999,-4.12,7.87,2.01,-4.77,0.431,-3.74,-11.61,10.61
1/31/2000,-2.33,-4.21,4.59,0.16,0.461,-3.86,2.67,1.21
2/29/2000,-14.08,2.74,12.19,-8.25,0.468,-10.45,-8.7,17.09
3/31/2000,5.54,5.31,-7.57,1.48,0.477,6.74,2.67,-5.01
4/28/2000,-1.00,-6.48,-4.47,5.64,0.472,7.66,4.4,-7.99
5/31/2000,6.24,-4.62,-2.57,2.79,0.457,4.53,4.35,-7.46
6/30/2000,1.04,4.8,8.31,-7.6,0.476,-5.04,-9.72,14.25
7/31/2000,4.02,-2.31,-2.89,6.69,0.503,3.73,4.25,-0.33
8/31/2000,-3.19,7,-0.85,-2.07,0.511,-3.1,-6.39,5.26
9/29/2000,3.07,-5.53,-1.55,7.56,0.504,3.33,6.31,0.59
10/31/2000,5.74,-3.05,-4.47,4.16,0.516,8.63,1.39,-4.46
11/30/2000,0.43,-10.89,-3.76,10.21,0.503,12.89,12.67,-2.62
12/29/2000,1.35,1.57,-0.47,6.49,0.478,-0.89,1.96,6.19
1/31/2001,-6.34,3.94,11.04,-5.5,0.405,-6.29,-13.77,-25.39
2/28/2001,-4.35,-10.3,-1.59,13.39,0.394,7.56,12.9,12.39
3/30/2001,-7.80,-7.58,-0.78,7.33,0.35,5.13,8.19,8.31
4/30/2001,0.81,8.11,2.08,-5.44,0.322,-2.7,-4.98,-8.07
5/31/2001,1.90,0.6,4.43,2.52,0.296,-1.42,7.78,2.12
6/29/2001,-2.44,-2.03,5.3,-1.71,0.298,2.55,5.09,2.05
7/31/2001,0.00,-2.16,-2.9,3.49,0.288,4.75,7.29,5.62
8/31/2001,1.73,-6.27,1.8,3.6,0.275,4.54,4.55,6.23
9/28/2001,-7.52,-9.62,-4.31,-0.27,0.196,6.5,5.75,10.24
